Search Query	 || 		Document with keyword	 || 	"total documents/appeared documents"	 || 	"log_10(N)"

Canada			 || 			67.0				 || 			9.388059701492537				 || 	0.9725758427444425
Moncton			 || 			12.0				 || 			52.416666666666664				 || 	1.719469399397644
Toronto			 || 			34.0				 || 			18.5							 || 	1.2671717284030137


Canada Appeared in 67 Documents	 || 	Total Words		 || 		Frequency

ARTICLE#539						 || 			102		 || 			0
ARTICLE#540						 || 			102		 || 			0
ARTICLE#541						 || 			99		 || 			0
ARTICLE#542						 || 			30		 || 			1
ARTICLE#543						 || 			21		 || 			1
ARTICLE#544						 || 			96		 || 			0
ARTICLE#545						 || 			72		 || 			0
ARTICLE#546						 || 			96		 || 			0
ARTICLE#547						 || 			54		 || 			0
ARTICLE#548						 || 			102		 || 			0
ARTICLE#549						 || 			105		 || 			0
ARTICLE#550						 || 			105		 || 			0
ARTICLE#551						 || 			93		 || 			0
ARTICLE#552						 || 			78		 || 			0
ARTICLE#553						 || 			87		 || 			0
ARTICLE#554						 || 			93		 || 			0
ARTICLE#555						 || 			96		 || 			0
ARTICLE#556						 || 			108		 || 			0
ARTICLE#557						 || 			96		 || 			0
ARTICLE#558						 || 			90		 || 			0
ARTICLE#559						 || 			102		 || 			0
ARTICLE#560						 || 			87		 || 			0
ARTICLE#561						 || 			90		 || 			0
ARTICLE#562						 || 			93		 || 			0
ARTICLE#563						 || 			96		 || 			0
ARTICLE#564						 || 			78		 || 			0
ARTICLE#565						 || 			75		 || 			0
ARTICLE#566						 || 			93		 || 			0
ARTICLE#567						 || 			33		 || 			1
ARTICLE#568						 || 			93		 || 			0
ARTICLE#569						 || 			93		 || 			0
ARTICLE#570						 || 			99		 || 			0
ARTICLE#571						 || 			99		 || 			0
ARTICLE#572						 || 			93		 || 			0
ARTICLE#573						 || 			81		 || 			0
ARTICLE#574						 || 			93		 || 			0
ARTICLE#575						 || 			93		 || 			0
ARTICLE#576						 || 			78		 || 			0
ARTICLE#577						 || 			93		 || 			0
ARTICLE#578						 || 			105		 || 			0
ARTICLE#579						 || 			99		 || 			0
ARTICLE#580						 || 			84		 || 			0
ARTICLE#581						 || 			105		 || 			0
ARTICLE#582						 || 			99		 || 			0
ARTICLE#583						 || 			60		 || 			0
ARTICLE#584						 || 			90		 || 			0
ARTICLE#585						 || 			108		 || 			0
ARTICLE#586						 || 			102		 || 			0
ARTICLE#587						 || 			111		 || 			0
ARTICLE#588						 || 			99		 || 			0
ARTICLE#589						 || 			36		 || 			1
ARTICLE#590						 || 			32		 || 			1
ARTICLE#591						 || 			96		 || 			0
ARTICLE#592						 || 			105		 || 			0
ARTICLE#593						 || 			99		 || 			0
ARTICLE#594						 || 			93		 || 			0
ARTICLE#595						 || 			108		 || 			0
ARTICLE#596						 || 			105		 || 			0
ARTICLE#597						 || 			93		 || 			0
ARTICLE#598						 || 			102		 || 			0
ARTICLE#599						 || 			93		 || 			0
ARTICLE#600						 || 			90		 || 			0
ARTICLE#601						 || 			102		 || 			0
ARTICLE#602						 || 			87		 || 			0
ARTICLE#603						 || 			102		 || 			0
ARTICLE#604						 || 			105		 || 			0
